Generation: 1 	Fittest: UQADQ LD SDQLDX
Generation: 2 	Fittest: TDAFM WD SDQWFX
Generation: 3 	Fittest: TDAFM WD SDQWFX
Generation: 4 	Fittest: XADCQ SD TCQSCR
Generation: 5 	Fittest: XADCQ SD TCQSCR
Generation: 6 	Fittest: XADCQ SD TCQSCR
Generation: 7 	Fittest: XCDHR VH THRVHT
Generation: 8 	Fittest: XCDHR VH THRVHT
Generation: 9 	Fittest: XAFFQ XF QFQXFX
Generation: 10 	Fittest: XCMEQ VE TERVHU
Generation: 11 	Fittest: YAHCS VC TCSVCR
Generation: 12 	Fittest: XCMES VE TEQVES
Generation: 13 	Fittest: ZCDER VH TERVHT
Generation: 14 	Fittest: ZCDER VH TERVHT
Generation: 15 	Fittest: ZCDER VH TERVHT
Generation: 16 	Fittest: ZCDER VH TERVHT
Generation: 17 	Fittest: ZCDER VH TERVHT
Generation: 18 	Fittest: ZCDER VH TERVHT
Generation: 19 	Fittest: ZDDER XE TERVEU
Generation: 20 	Fittest: ZDDER XE TERVEU
Generation: 21 	Fittest: ZAHER VE UERVEX
Generation: 22 	Fittest: ZAHER VE QERVER
Generation: 23 	Fittest: ZAHER VE QERVER
Generation: 24 	Fittest: ZAHER VE QERVER
Generation: 25 	Fittest: ZCDER VE TERVET
Generation: 26 	Fittest: ZCDER VE TERVET
Generation: 27 	Fittest: ZCDER VE TERVET
Generation: 28 	Fittest: ZCDER VE TERVET
Generation: 29 	Fittest: ZCDER VE TERVET
Generation: 30 	Fittest: ZCDER VE TERVET
Generation: 31 	Fittest: ZCDER VE TERVET
Generation: 32 	Fittest: ZCDER VE TERVET
Generation: 33 	Fittest: ZAHER VE SERVER
Generation: 34 	Fittest: ZAHER VE SERVER
Generation: 35 	Fittest: ZAHER VE SERVER
Generation: 36 	Fittest: ZAHER VE SERVER
Generation: 37 	Fittest: ZAHER VE SERVER
Generation: 38 	Fittest: ZAEER VE TERVES
Generation: 39 	Fittest: ZAEER VE TERVES
Generation: 40 	Fittest: ZAEER VE TERVES
Generation: 41 	Fittest: ZAEER VE TERVES
Generation: 42 	Fittest: ZAEER VE TERVES
Generation: 43 	Fittest: ZAEER VE TERVES
Generation: 44 	Fittest: ZAEER VE TERVES
Generation: 45 	Fittest: ZAEER VE TERVES
Generation: 46 	Fittest: ZAEER VE TERVES
Generation: 47 	Fittest: ZAEER VE TERVES
Generation: 48 	Fittest: ZAFEQ VE SERVET
Generation: 49 	Fittest: ZAFEQ VE SERVET
Generation: 50 	Fittest: ZAFEQ VE SERVET
Generation: 51 	Fittest: ZAFEQ VE SERVET
Generation: 52 	Fittest: ZAFEQ VE SERVET
Generation: 53 	Fittest: ZAFEQ VE SERVET
Generation: 54 	Fittest: ZAFEQ VE SERVET
Generation: 55 	Fittest: ZAFEQ VE SERVET
Generation: 56 	Fittest: ZAFEQ VE SERVET
Generation: 57 	Fittest: ZAFEQ VE SERVET
Generation: 58 	Fittest: ZAFEQ VE SERVET
Generation: 59 	Fittest: ZAFEQ VE SERVET
Generation: 60 	Fittest: ZAFEQ VE SERVET
Generation: 61 	Fittest: ZAFEQ VE SERVET
Generation: 62 	Fittest: ZAFEQ VE SERVET
Generation: 63 	Fittest: ZAFEQ VE SERVET
Generation: 64 	Fittest: ZAFEQ VE SERVET
Generation: 65 	Fittest: ZAFEQ VE SERVET
Generation: 66 	Fittest: ZAFEQ VE SERVET
Generation: 67 	Fittest: ZAFEQ VE SERVET
Generation: 68 	Fittest: ZAFEQ VE SERVET
Generation: 69 	Fittest: ZAFEQ VE SERVET
Generation: 70 	Fittest: ZAFEQ VE SERVET
Generation: 71 	Fittest: ZAFER VE SERVET
